,endTime,artistName,trackName,msPlayed
2164,2020-07-01 19:56,Valley,There's Still A Light In The House,203106
2165,2020-07-01 20:00,Valley,There's Still A Light In The House,203106
2166,2020-07-01 20:03,Valley,There's Still A Light In The House,203106
2167,2020-07-01 20:06,Valley,There's Still A Light In The House,203106
2168,2020-07-01 20:10,Valley,There's Still A Light In The House,203106
2169,2020-07-01 20:13,Valley,There's Still A Light In The House,203106
2170,2020-07-01 20:17,Valley,There's Still A Light In The House,203106
2171,2020-07-01 20:20,Valley,There's Still A Light In The House,203106
2172,2020-07-01 20:23,Valley,There's Still A Light In The House,203106
2173,2020-07-01 20:27,Valley,There's Still A Light In The House,203106
2174,2020-07-01 20:30,Valley,There's Still A Light In The House,203106
2175,2020-07-01 20:34,Valley,There's Still A Light In The House,203106
2176,2020-07-01 20:37,Valley,There's Still A Light In The House,203106
2177,2020-07-01 20:40,Valley,There's Still A Light In The House,203106
2178,2020-07-01 20:44,Valley,There's Still A Light In The House,203106
2179,2020-07-01 20:47,Valley,There's Still A Light In The House,203106
2180,2020-07-01 20:51,Valley,There's Still A Light In The House,203106
2181,2020-07-01 21:04,Valley,There's Still A Light In The House,70936
2182,2020-07-01 21:34,Terrell Morris,Toi,109418
2183,2020-07-01 21:38,Kendrick Lamar,Sherane a.k.a Master Splinter’s Daughter,273640
2184,2020-07-01 21:44,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",310720
2185,2020-07-01 21:47,Kendrick Lamar,Backseat Freestyle,212653
2186,2020-07-01 21:53,Kendrick Lamar,The Art of Peer Pressure,324533
2187,2020-07-01 21:56,Kendrick Lamar,Money Trees,184223
2188,2020-07-01 21:56,Terrell Morris,Toi,2048
2189,2020-07-01 22:00,Four Tet,Two Thousand and Seventeen,252255
2190,2020-07-01 22:05,Four Tet,Lush,311893
2191,2020-07-01 22:10,Four Tet,Daughter,295131
2192,2020-07-01 22:14,Four Tet,Baby,264464
2193,2020-07-01 22:18,Four Tet,Teenage Birdsong,205421
2194,2020-07-01 23:01,Four Tet,Locked,255405
2195,2020-07-01 23:56,FantasyPros - Fantasy Football Podcast,20 Players to Avoid This Year (Ep. 506),2945962
2196,2020-07-02 00:58,Terrell Morris,Toi,188181
2197,2020-07-02 01:02,Terrell Morris,Free Problems,245760
2198,2020-07-02 01:44,Terrell Morris,Me 4 Prez,218571
2199,2020-07-02 01:48,Terrell Morris,Oak (feat. Basecamp),250256
